pl_hostname,pl_pnum,st_optmag,gaia_gmag,st_teff,st_mass,st_rad
Kepler-116,2,13.717,13.689,6142,,1.45
Kepler-117,2,14.274,14.247,6150,1.13,1.61
Kepler-118,2,14.711,14.719,5274,,1.09
Kepler-119,2,14.236,14.2,5595,,0.84
Kepler-120,2,14.735,14.719,4096,,0.53
Kepler-121,2,14.708,14.677,5311,,0.7
Kepler-123,2,14.061,14.021,6089,,1.26
Kepler-1245,2,15.404,15.372,5306,0.86,0.83
Kepler-125,2,14.752,14.768,3810,,0.51
Kepler-128,2,11.39,11.289,,1.09,1.61
Kepler-129,2,11.696,11.644,5770,,1.64
Kepler-131,2,11.525,11.49,5685,1.02,1.03
Kepler-1311,2,13.349,13.318,5748,1.05,1.4
Kepler-1321,2,16.835,16.928,4094,0.54,0.53
Kepler-133,2,12.848,12.841,5736,,1.43
Kepler-1336,2,14.056,14.038,5512,0.94,1.3
Kepler-134,2,12.324,12.222,5983,,1.18
Kepler-135,2,12.73,12.679,6090,,1.27
Kepler-1350,2,16.283,16.233,3827,0.55,0.53
Kepler-136,2,12.459,11.754,6165,,1.35
Kepler-1365,2,13.421,13.38,5770,1,1.05
Kepler-137,2,12.99,12.941,5187,,0.8
Kepler-1370,2,13.701,13.674,6202,1.19,1.29
Kepler-1371,2,13.851,13.834,5361,0.87,0.83
Kepler-139,2,12.701,12.677,5594,,1.3
Kepler-1398,2,13.71,13.66,6126,1.13,1.18
Kepler-140,2,12.996,12.941,6077,,1.29
Kepler-141,2,13.448,13.421,4910,,0.79
Kepler-143,2,13.77,13.706,5848,,1.36
Kepler-144,2,11.992,11.944,6075,,1.24
Kepler-145,2,11.931,11.875,6022,1.28,1.98
Kepler-146,2,13.838,13.803,5948,,1.21
Kepler-1464,2,14.159,14.13,5828,1.02,1.01
Kepler-1468,2,15.024,14.952,5893,1.04,1.05
Kepler-147,2,13.954,13.915,6012,,1.47
Kepler-151,2,14.769,14.719,5460,,0.83
Kepler-152,2,14.29,14.244,5088,,0.72
Kepler-153,2,14.262,14.249,5404,,0.89
Kepler-1530,2,14.026,14.005,5477,0.92,0.88
Kepler-155,2,14.258,14.24,4508,,0.62
Kepler-156,2,14.172,14.156,5094,,0.81
Kepler-158,2,14.427,14.417,4623,,0.62
Kepler-159,2,14.902,14.888,4625,,0.66
Kepler-160,2,14.619,14.616,5857,,0.88
Kepler-161,2,14.196,14.192,5078,,0.81
Kepler-162,2,14.248,14.223,5816,,0.96
Kepler-163,2,14.415,14.38,5776,,0.92
Kepler-1641,2,14.263,14.223,6152,1.12,1.19
Kepler-1642,2,14.13,14.101,5355,0.88,0.84
Kepler-165,2,14.802,14.794,5211,,0.77
Kepler-168,2,14.606,14.605,6282,,1.11
Kepler-170,2,14.387,14.347,5679,,1.03
Kepler-173,2,14.209,14.258,6031,,0.95
Kepler-175,2,14.939,14.911,6064,,1.01
Kepler-177,2,15,14.941,5942,,1.05
Kepler-179,2,14.613,14.603,5302,,0.76
Kepler-180,2,14.35,14.325,5731,,1.06
Kepler-181,2,14.707,14.714,5333,,0.75
Kepler-182,2,14.896,14.874,6250,,1.15
Kepler-183,2,14.943,14.893,5888,,0.96
Kepler-185,2,14.458,14.443,5208,,0.81
Kepler-187,2,14.173,14.175,6105,,1.29
Kepler-188,2,14.674,14.634,6021,,1.14
Kepler-189,2,14.859,14.821,5235,,0.75
Kepler-190,2,14.137,14.118,5106,,0.8
Kepler-193,2,14.615,14.596,6335,,1.15
Kepler-195,2,14.813,14.799,5329,,0.78
Kepler-196,2,14.157,14.103,5128,,0.78
Kepler-199,2,13.595,13.597,5644,,0.97
Kepler-200,2,13.984,13.952,5678,,0.94
Kepler-201,2,13.004,12.92,6065,,1.23
Kepler-202,2,13.872,13.843,4668,,0.67
Kepler-204,2,13.909,13.874,5812,,1.24
Kepler-205,2,13.506,13.495,4321,,0.55
Kepler-209,2,13.998,13.952,5513,,0.94
Kepler-210,2,13.822,13.804,4559,,0.65
Kepler-211,2,13.283,13.273,5123,,0.82
Kepler-212,2,13.178,12.987,5852,,1.46
Kepler-213,2,13.648,13.602,5696,,1.2
Kepler-214,2,13.949,13.906,6169,,1.35
Kepler-216,2,13.998,13.961,6091,,1.26
Kepler-225,2,15.962,15.95,3682,,0.48
Kepler-227,2,15.347,15.323,5854,,1.09
Kepler-230,2,15.082,15.073,5588,,0.82
Kepler-231,2,15.385,15.39,3767,,0.49
Kepler-232,2,15.367,15.32,5847,,0.97
Kepler-233,2,15.339,15.326,5360,,0.76
Kepler-234,2,15.541,15.501,6224,,1.11
Kepler-236,2,15.414,15.374,3750,,0.51
Kepler-237,2,15.289,15.283,4861,,0.72
Kepler-239,2,15.208,15.233,4914,,0.76
Kepler-240,2,15.66,15.662,4985,,0.74
Kepler-241,2,15.389,15.387,4699,,0.67
Kepler-242,2,15.376,15.349,5020,,0.85
Kepler-243,2,15.086,15.057,5228,,0.84
Kepler-246,2,15.024,15.042,5206,,0.83
Kepler-248,2,15.258,15.233,5190,,0.83
Kepler-252,2,15.058,15.029,4208,,0.55
Kepler-258,2,15.223,15.201,4942,,0.92
Kepler-259,2,15.219,15.169,5938,,0.9
Kepler-260,2,14.138,14.118,5250,,0.86
Kepler-261,2,13.562,13.529,5098,,0.79
Kepler-262,2,14.246,14.224,5841,,0.88
Kepler-263,2,15.391,15.417,5265,,0.79
Kepler-264,2,13.038,13.013,6158,,1.55
Kepler-266,2,15.59,15.577,5885,,1.03
Kepler-268,2,13.703,13.668,6081,,1.27
Kepler-269,2,15.808,15.735,5847,,0.96
Kepler-27,2,15.855,15.816,5400,0.65,0.59
Kepler-270,2,13.908,13.859,6067,,1.46
Kepler-273,2,14.968,14.968,5626,,0.81
Kepler-274,2,15.035,15.032,6023,,1.01
Kepler-277,2,13.42,13.388,5946,,1.65
Kepler-278,2,11.584,11.53,4991,,2.94
Kepler-28,2,15.036,15.026,4590,0.75,0.7
Kepler-280,2,14.466,14.457,5744,,0.89
Kepler-281,2,15.773,15.754,5723,,0.9
Kepler-283,2,15.847,15.875,4351,,0.57
Kepler-284,2,15.824,15.813,5615,,0.81
Kepler-285,2,15.173,15.152,5411,,0.81
Kepler-287,2,14.775,14.744,5806,,1.03
Kepler-29,2,15.282,15.282,5701,0.98,0.93
Kepler-290,2,15.596,15.565,5147,,0.74
Kepler-291,2,15.934,15.898,6002,,1.02
Kepler-293,2,15.368,15.333,5804,,0.96
Kepler-294,2,15.843,15.819,5913,,0.98
Kepler-297,2,14.232,14.192,5619,,0.92
Kepler-300,2,14.201,14.18,5986,,0.9
Kepler-302,2,15.505,15.491,5740,,1.22
Kepler-303,2,14.39,14.396,3944,,0.48
Kepler-307,2,14.072,14.056,5367,0.91,0.81
Kepler-308,2,15.809,15.851,5895,,0.94
Kepler-309,2,15.157,15.126,4713,,0.72
Kepler-311,2,13.797,13.754,5905,,1.19
Kepler-312,2,12.949,12.921,6115,,1.47
Kepler-313,2,14.167,14.111,5727,,1.54
Kepler-314,2,12.557,12.523,5378,,0.95
Kepler-315,2,15.321,15.289,5796,,1.04
Kepler-316,2,15.224,15.194,4204,,0.52
Kepler-317,2,15.377,15.457,5497,,0.94
Kepler-318,2,13.297,13.281,5746,,1.19
Kepler-320,2,13.474,13.434,6435,,1.11
Kepler-321,2,12.706,12.755,5740,,1.19
Kepler-322,2,13.53,13.503,5388,,0.89
Kepler-323,2,12.722,12.658,5987,,1.18
Kepler-324,2,14.122,14.091,5194,,0.84
Kepler-328,2,15.674,15.604,5914,1.1,1
Kepler-329,2,15.434,15.431,4257,,0.52
Kepler-330,2,15.261,15.263,5117,,0.72
Kepler-333,2,14.731,14.721,4259,,0.53
Kepler-335,2,13.996,13.96,5877,,1.85
Kepler-337,2,12.727,12.708,5684,,1.76
Kepler-340,2,12.345,12.303,6620,,1.85
Kepler-343,2,14.128,14.11,5807,,1.43
Kepler-344,2,15.378,15.303,5774,,0.98
Kepler-345,2,14.028,14.034,4504,,0.62
Kepler-346,2,15.214,15.155,6033,,1.02
Kepler-347,2,14.513,14.489,6088,,1
Kepler-348,2,12.556,12.588,6177,,1.36
Kepler-349,2,14.746,14.721,5956,,0.93
Kepler-352,2,12.957,12.956,5212,,0.78
Kepler-353,2,15.773,15.725,3903,,0.5
Kepler-355,2,15.087,15.066,6184,,1.07
Kepler-356,2,12.992,12.965,6133,,1.33
Kepler-358,2,15.375,15.356,5908,,0.95
Kepler-36,2,11.866,12.077,5911,1.07,1.63
Kepler-360,2,14.866,14.813,6053,,1.06
Kepler-361,2,13.573,13.545,6169,,1.34
Kepler-362,2,14.5,14.486,5788,,0.72
Kepler-364,2,13.66,13.613,6108,,1.28
Kepler-365,2,14.651,,6012,,1.05
Kepler-366,2,14.842,14.79,6209,,1.05
Kepler-367,2,12.879,12.848,4710,,0.69
Kepler-368,2,12.848,12.838,5502,,2.02
Kepler-369,2,15.673,15.668,3591,,0.47
Kepler-370,2,15.198,15.16,5852,,0.9
Kepler-371,2,13.865,13.798,5666,,0.99
Kepler-373,2,14.514,14.486,5787,,0.84
Kepler-375,2,15.699,15.677,5826,,0.84
Kepler-376,2,13.776,13.734,5900,,1.18
Kepler-377,2,13.86,13.831,5949,,1.22
Kepler-378,2,12.485,12.455,4661,,0.67
Kepler-379,2,13.358,13.369,6054,,1.31
Kepler-380,2,13.652,13.611,6045,,1.22
Kepler-381,2,10.421,10.546,6152,,1.57
Kepler-382,2,14.623,14.666,5600,,0.94
Kepler-383,2,15.07,15.066,4710,,0.67
Kepler-384,2,13.584,13.554,5577,,0.88
Kepler-385,2,15.212,15.192,6326,,1.13
Kepler-386,2,15.629,15.617,5178,,0.77
Kepler-387,2,13.987,13.935,5774,,1.05
Kepler-388,2,14.993,15.002,4498,,0.59
Kepler-389,2,15.77,15.749,5376,,0.79
Kepler-390,2,13.942,13.922,5166,,0.78
Kepler-391,2,13.007,12.984,4940,,3.57
Kepler-392,2,13.455,13.422,5938,,1.13
Kepler-393,2,13.223,13.178,6189,,1.38
Kepler-394,2,14.79,14.77,6402,,1.13
Kepler-395,2,15.987,15.958,4262,,0.56
Kepler-396,2,11.921,11.829,5384,,1.17
Kepler-397,2,15.996,,5307,,0.77
Kepler-400,2,13.642,13.84,5886,,1.15
Kepler-404,2,15.228,15.191,5654,,0.88
Kepler-405,2,15.855,15.802,5818,,0.89
Kepler-406,2,12.52,12.49,5538,1.07,1.07
Kepler-407,2,12.521,12.507,5476,1,1.01
Kepler-414,2,13.338,13.321,,0.89,0.95
Kepler-415,2,15.842,15.841,,0.67,0.64
Kepler-416,2,14.028,14.02,,1,1.07
Kepler-417,2,15.886,15.866,,0.9,0.81
Kepler-419,2,13.005,12.964,6430,1.39,1.74
Kepler-424,2,14.256,14.229,5460,1.01,0.94
Kepler-430,2,13.848,13.814,5884,1.17,1.49
Kepler-432,2,12.465,12.182,4995,1.32,4.06
Kepler-436,2,15.856,15.862,4651,0.73,0.7
KOI-12,2,11.353,11.253,,1.5,1.4
Kepler-449,2,11.411,11.226,,0.97,1.47
Kepler-454,2,11.57,11.44,5701,0.85,1.05
KIC 9663113,2,13.955,13.907,6065,0.98,1.03
KIC 5437945,2,13.771,13.751,6340,1.07,1.24
Kepler-466,2,12.772,12.763,5927,1.04,1.05
Kepler-487,2,14.991,15.065,5444,0.91,0.88
Kepler-50,2,10.421,10.362,6225,1.24,1.58
Kepler-520,2,12.797,12.76,6112,1.1,1.09
Kepler-524,2,13.928,13.887,6014,1.09,1.1
Kepler-529,2,13.763,13.74,6087,1.07,1.14
Kepler-539,2,12.391,12.379,5820,1.05,0.95
Kepler-549,2,14.621,14.623,5360,0.88,0.84
Kepler-553,2,14.924,14.957,5266,0.92,0.85
Kepler-561,2,14.361,14.332,5646,0.96,0.94
Kepler-57,2,14.809,14.774,5145,0.83,0.73
Kepler-59,2,14.307,14.279,6074,1.04,0.94
Kepler-605,2,14.14,14.136,5462,0.91,0.88
Kepler-610,2,14.807,14.77,5943,1.1,1.13
Kepler-616,2,14.957,14.947,5753,0.98,0.97
Kepler-619,2,14.697,14.67,5980,1.09,1.11
Kepler-625,2,13.307,13.264,5789,1.04,0.96
Kepler-653,2,13.387,13.346,5665,1.02,1.19
Kepler-69,2,14,13.712,5638,0.81,0.93
Kepler-712,2,15.859,15.854,5148,0.84,0.78
Kepler-722,2,15.399,15.373,5863,1.03,1.05
Kepler-730,2,15.649,15.611,5620,1.05,1.41
Kepler-732,2,15.073,15.052,3631,0.49,0.46
Kepler-750,2,14.5,14.467,6160,1.15,1.23
Kepler-755,2,13.999,14.024,5043,0.82,0.77
Kepler-760,2,15.07,15.073,5322,0.89,0.85
Kepler-769,2,14.818,14.76,6186,1.19,1.28
Kepler-804,2,13.749,13.736,5817,1.01,1.05
Kepler-825,2,14.207,14.145,5976,1.03,1.08
Kepler-87,2,14.6,14.587,5600,1.1,1.82
Kepler-887,2,13.47,13.45,6194,1.19,1.29
Kepler-903,2,14.659,14.615,5682,0.98,0.97
Kepler-920,2,15.28,15.268,5403,0.89,0.85
Kepler-93,2,9.931,9.862,5669,1.09,0.98
Kepler-937,2,15.224,15.194,6095,1.15,1.22
Kepler-94,2,12.895,12.857,4781,0.81,0.76
Kepler-953,2,12.16,12.143,5416,0.95,0.99
Kepler-967,2,14.443,14.451,5178,0.84,0.8
Kepler-968,2,14.265,14.25,4598,0.76,0.7
Kepler-969,2,13.733,13.722,5214,0.92,0.82
Kepler-97,2,12.872,12.813,5779,0.94,0.98
Kepler-990,2,14.498,14.495,5948,1.05,1.08
LHS 1140,2,14.18,12.671,3216,0.18,0.21
LP 791-18,2,16.9,15.072,2960,0.14,0.17
LkCa 15,2,12.025,11.589,,,
NN Ser,2,,16.59,57000,0.54,
NY Vir,2,,13.394,8868.67,,
OGLE-2006-BLG-109L,2,,,,0.51,
OGLE-2012-BLG-0026L,2,,,,1.06,
OGLE-2014-BLG-1722L,2,,,,0.4,
OGLE-2018-BLG-1011L,2,,,,0.18,
PDS 70,2,12.233,11.585,3972,0.76,1.26
Pr0211,2,12.06,11.928,5300,0.94,0.83
TOI-1130,2,11.368,10.903,4250,0.68,0.69
TOI-216,2,12.324,12.163,5026,0.87,0.84
TYC 1422-614-1,2,10.21,9.913,4806,1.15,6.85
Teegarden's Star,2,15.08,12.275,2904,0.09,0.11
UZ For,2,,16.694,,0.7,
WASP-126,2,10.8,11.066,5800,1.12,1.27
WASP-18,2,9.303,9.166,6400,1.22,1.23
WASP-41,2,11.6,11.282,5545,0.81,0.83
WASP-53,2,,12.347,4953,0.84,0.8
WASP-8,2,9.79,9.612,5600,1.34,1.03
XO-2 S,2,11.086,10.928,5399,0.98,1
bet Pic,2,3.85,3.725,,1.76,
gam Lib,2,3.91,3.547,4822,1.47,11.1
nu Oph,2,3.34,2.978,4886,2.7,14.6
HD 39091,2,5.67,5.491,6037,1.09,1.1
rho CrB,2,5.41,5.209,5627,0.89,1.36
11 Com,1,4.74,4.372,4742,2.7,19
11 UMi,1,5.016,4.5,4213,2.78,29.79
14 And,1,5.227,4.872,4813,2.2,11
14 Her,1,6.61,6.379,5338,0.9,0.93
16 Cyg B,1,6.25,6.057,5750,1.08,1.13
18 Del,1,5.506,5.244,4979,2.3,8.5
1RXS J160929.1-210524,1,,12.057,4060,0.85,
24 Boo,1,5.58,5.305,4893,0.99,10.64
2MASS J01225093-2439505,1,14.24,12.903,3530,0.4,
2MASS J02192210-3925225,1,,15.012,3064,0.11,0.28
2MASS J04414489+2301513,1,,18.967,,0.02,
2MASS J12073346-3932539,1,20.15,17.408,,0.02,
2MASS J19383260+4603591,1,12.264,12.138,,0.48,
2MASS J21402931+1625183 A,1,,17.396,2300,0.08,0.12
2MASS J22362452+4751425,1,12.51,11.948,4045,0.6,
30 Ari B,1,6.962,6.961,6331,1.93,1.41
4 UMa,1,4.61,4.16,4415,1.23,18.11
42 Dra,1,4.82,4.364,4200,0.98,22.03
51 Eri,1,5.23,5.122,,1.75,
51 Peg,1,5.5,5.256,5793,1.12,1.2
6 Lyn,1,5.86,5.588,4938,1.44,5.2
70 Vir,1,4.97,4.709,5495,1.09,1.89
75 Cet,1,5.35,5.055,4846,2.49,10.5
8 UMi,1,6.83,6.559,4847,1.44,10.3
81 Cet,1,5.65,5.349,4785,2.4,11
91 Aqr,1,4.25,3.863,4665,1.4,11
AB Pic,1,9.128,8.838,,,
BD+03 2562,1,9.58,8.998,4095,1.14,32.35
BD+14 4559,1,9.63,9.351,4864,0.49,0.86
BD+15 2375,1,10.31,9.992,4649,1.08,8.95
BD+15 2940,1,9.046,8.718,4796,1.1,14.7
BD+20 274,1,9.36,8.916,4296,0.8,17.3
BD+20 594,1,11.038,10.864,5766,1.67,1.08
BD+48 738,1,9.14,8.656,4414,0.74,11
BD+48 740,1,8.699,8.264,4534,1.09,10.33
BD+49 828,1,9.38,9.029,4943,1.52,7.6
BD-10 3166,1,10.08,9.84,5393,1.47,0.91
BD-11 4672,1,9.99,9.485,4475,0.57,0.52
BD-13 2130,1,9.45,9.7,4545,2.12,19.17
BD-17 63,1,9.566,9.201,4714,0.74,0.69
CFBDSIR J145829+101343,1,,,580.5,0.02,
CHXR 73,1,,17.293,,0.35,
CI Tau,1,12.939,12.145,,0.9,
CT Cha,1,,11.773,,,
CoRoT-1,1,13.6,13.457,5950,0.95,1.11
CoRoT-10,1,15.22,14.665,5075,0.89,0.79
CoRoT-11,1,12.939,12.841,6440,1.27,1.37
CoRoT-12,1,15.515,15.345,5675,1.08,1.12
CoRoT-13,1,15.039,14.915,5945,1.09,1.01
CoRoT-14,1,16.033,15.812,6035,1.13,1.21
CoRoT-16,1,15.63,15.651,5650,1.1,1.19
CoRoT-17,1,15.46,15.437,5740,1.04,1.59
CoRoT-18,1,15,14.801,5440,0.95,1
CoRoT-19,1,14.007,13.783,6090,1.21,1.65
CoRoT-2,1,12.57,12.249,5625,0.96,0.91
CoRoT-21,1,16,15.856,6200,1.29,1.95
CoRoT-22,1,13.944,13.73,5939,1.1,1.14
CoRoT-23,1,15.63,15.068,5900,1.14,1.61
CoRoT-25,1,,14.711,6040,1.09,1.19
CoRoT-26,1,,15.468,5590,1.09,1.79
CoRoT-27,1,15.54,15.39,5900,1.05,1.08
CoRoT-28,1,,13.412,5150,1.01,1.78
CoRoT-29,1,,15.239,5260,0.97,0.9
CoRoT-3,1,13.292,13.219,6740,1.37,1.56
CoRoT-30,1,15.65,15.413,5650,0.98,0.91
CoRoT-31,1,,15.465,5700,1.25,2.15
CoRoT-4,1,,13.561,6190,1.16,1.17
CoRoT-5,1,,13.902,6100,1,1.19
CoRoT-6,1,13.912,13.746,6090,1.05,1.02
CoRoT-8,1,14.8,14.22,5080,0.88,0.77
CoRoT-9,1,13.69,13.501,5625,0.96,0.96
CoRoTID 223977153,1,,13.587,5970,1.08,0.79
DE CVn,1,,11.975,,0.51,
DENIS-P J082303.1-491201,1,,18.558,,0.07,
DH Tau,1,,12.496,,0.33,0.27
DMPP-2,1,8.567,8.458,6500,1.44,1.78
DMPP-3 A,1,9.066,8.854,5138,0.87,0.91
DP Leo,1,,18.633,13500,,0.01
DS Tuc A,1,8.469,8.319,5428,1.01,0.96
EPIC 201238110,1,14.904,15.261,,0.41,
EPIC 201497682,1,14.102,13.737,,0.78,
EPIC 201841433,1,14.867,14.589,,0.8,
EPIC 206024342,1,13.116,12.968,,0.93,
EPIC 206032309,1,15.782,16.069,,0.22,
EPIC 206042996,1,16.743,15.975,,0.56,
EPIC 206215704,1,15.598,16.172,,0.41,
EPIC 206317286,1,14.051,13.774,,0.71,
EPIC 211822797,1,15.256,14.526,4148.21,0.66,0.57
EPIC 211945201,1,10.154,10.051,6069,1.17,1.39
EPIC 212297394,1,14.423,14.186,,0.83,
EPIC 212424622,1,13.354,13.203,,1.11,
EPIC 212499991,1,13.552,13.312,,0.91,
EPIC 212587672,1,12.487,12.204,,0.95,
EPIC 246851721,1,11.439,11.255,6202,1.32,1.59
EPIC 248847494,1,12.416,12.172,4898,0.9,2.7
